ssh aile;Device;Adresse-IP;Racine-nom-CVS;Numversion:1.7;DateRevision: 28/07/2022
METROLOGIE;D05-1-C00/CA/BAI.1322-MOS.4-CB;172.20.7.54;METROLOGIE_B1322_MOS4_parameters;;
METROLOGIE;D05-1-C00/CA/BAI.1324-MOS.1-CB;172.20.7.55;METROLOGIE_B1324_MOS1_parameters;;
METROLOGIE;D05-1-C00/CA/BAI.1324-MOS.2-CB;172.20.7.56;METROLOGIE_B1324_MOS2_parameters;;
METROLOGIE;D05-1-C00/CA/BAI.1324-MOS.3-CB;172.20.7.57;METROLOGIE_B1324_MOS3_parameters;;
METROLOGIE;D05-1-C00/CA/BAI.1324-MOS.4-CB;172.20.7.58;METROLOGIE_B1324_MOS4_parameters;;
METROLOGIE;D05-1-C00/CA/BAI.1325-MOS.1-CB;172.20.7.59;METROLOGIE_B1325_MOS1_parameters;;
METROLOGIE;D05-1-C00/CA/BAI.1325-MOS.2-CB;172.20.7.60;METROLOGIE_B1325_MOS2_parameters;;
METROLOGIE;D05-1-C00/CA/BAI.1327-MOS.1-CB;172.20.7.64;METROLOGIE_B1327_MOS1_parameters;;
METROLOGIE;D05-1-C00/CA/BAI.1328-MOS.1-CB;172.20.7.61;METROLOGIE_B1328_MOS1_parameters;;
METROLOGIE;D05-1-C00/CA/BAI.1328-MOS.2-CB;172.20.7.62;METROLOGIE_B1328_MOS2_parameters;;
METROLOGIE;D05-1-CX1/CA/BAI.1329-MOS.1-CB;172.20.7.67;METROLOGIE_B1329_MOS1_parameters;;
METROLOGIE;D05-1-CX1/CA/BAI.1329-MOS.2-CB;172.20.7.68;METROLOGIE_B1329_MOS2_parameters;;
;;;;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1500-MOS.1-CB;172.20.27.48;NANOSCOPIUM_B1500_MOS1_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1500-MOS.2-CB;172.20.27.49;NANOSCOPIUM_B1500_MOS2_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1500-MOS.3-CB;172.20.27.51;NANOSCOPIUM_B1500_MOS3_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1500-MOS.4-CB;172.20.27.50;NANOSCOPIUM_B1500_MOS4_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1504-MOS.1-CB;172.20.27.52;NANOSCOPIUM_B1504_MOS1_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1504-MOS.2-CB;172.20.27.53;NANOSCOPIUM_B1504_MOS2_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1504-MOS.3-CB;172.20.27.54;NANOSCOPIUM_B1504_MOS3_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1504-MOS.5-CB;172.20.27.56;NANOSCOPIUM_B1504_MOS5_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1505-MOS.1-CB;172.20.27.57;NANOSCOPIUM_B1505_MOS1_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1505-MOS.2-CB;172.20.27.58;NANOSCOPIUM_B1505_MOS2_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1513-MOS.1-CB;0.0.0.0;NANOSCOPIUM_B1513_MOS1_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1513-MOS.2-CB;172.20.27.76;NANOSCOPIUM_B1513_MOS2_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1513-MOS.3-CB;172.20.27.77;NANOSCOPIUM_B1513_MOS3_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1513-MOS.4-CB;0.0.0.0;NANOSCOPIUM_B1513_MOS4_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1513-MOS.5-CB;172.20.27.79;NANOSCOPIUM_B1513_MOS5_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1514-MOS.1-CB;0.0.0.0;NANOSCOPIUM_B1514_MOS1_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1514-MOS.2-CB;0.0.0.0;NANOSCOPIUM_B1514_MOS2_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1514-MOS.3-CB;0.0.0.0;NANOSCOPIUM_B1514_MOS3_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1514-MOS.4-CB;0.0.0.0;NANOSCOPIUM_B1514_MOS4_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1514-MOS.5-CB;0.0.0.0;NANOSCOPIUM_B1514_MOS5_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1515-MOS.1-CB;172.20.27.81;NANOSCOPIUM_B1515_MOS1_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1515-MOS.2-CB;172.20.27.82;NANOSCOPIUM_B1515_MOS2_parameters;;
NANOSCOPIUM;I13-LN-C00/CA/BAI.1515-MOS.3-CB;172.20.27.83;NANOSCOPIUM_B1515_MOS3_parameters;;
